Street,No,APN,Lot Area,ResSize,YrBlt,Age,Reno/New:,Downslope:,Upslope:,"""Flat"":",1-story:,Front,Side_Sm,Side_Lg,Rear,Slope,Story
AltaMesa,104,073044070,"  14,000 ","  1,310 ",1931,  88 ,2006,√,,,√,  41 ,  9 ,  47 ,  39 ,D,1
AltaMesa,107,073043060,"  21,500 ","  2,650 ",2005,  14 ,2005,,√,,,  29 ,  55 ,  65 ,  67 ,U,
AltaMesa,111,073043030,"  11,550 ","  2,169 ",1959,  60 ,2012,,√,,√,  29 ,  2 ,  30 ,  26 ,U,1
AltaMesa,112,073044080,"  7,800 ","  2,550 ",1951,  68 ,1998,√,,,√,  21 ,  14 ,  31 ,  26 ,D,1
AltaMesa,119,073043070,"  27,878 ",  930 ,1949,  70 ,2006,,√,,,  59 ,  18 ,  54 ,  15 ,U,
AltaMesa,120,073044090,"  15,400 ","  2,020 ",1939,  80 ,1992,√,,,√,  13 ,  24 ,  40 ,  31 ,D,1
AltaMesa,124,073044100,"  13,000 ","  1,560 ",1955,  64 ,1999,√,,,,  15 ,  18 ,  35 ,  73 ,D,
AltaMesa,136,073044110,"  11,500 ",  970 ,1957,  62 ,1989,,,√,,  13 ,  33 ,  47 ,  43 ,F,
AltaMesa,144,073044120,"  22,500 ","  2,785 ",1942,  77 ,2002,,,√,,  25 ,  25 ,  25 ,  87 ,F,
AltaMesa,152,073044300,"  16,200 ","  1,200 ",1937,  82 ,n/a,,,√,√,  33 ,  37 ,  42 ,  5 ,F,1
AltaMesa,159,073063220,"  14,960 ","  1,964 ",1964,  55 ,2002,,,√,,  25 ,  19 ,  79 ,  13 ,F,
AltaMesa,160,073044150,"  17,700 ","  1,840 ",1952,  67 ,1996,,,√,√,  34 ,0,  62 ,  34 ,F,1
AltaMesa,171,073063210,"  19,360 ",  910 ,1931,  88 ,1999,,,√,√,  3 ,  38 ,  103 ,  75 ,F,1
AltaMesa,175,073063040,"  11,500 ","  2,620 ",1957,  62 ,2005,√,,,,  14 ,0,  21 ,  70 ,D,
